"compiled_studies","subjectID","group","optionA","optionB","quantityA","quantityB"
"structural","mouse1",1,"rope","mouseswing",41.6747159090909,58.3252840909091
"structural","mouse1",1,"clip_papertube","rope",39.4509154040404,60.5490845959596
"structural","mouse1",1,"mouseswing","clip_papertube",40.3668981481481,59.6331018518519
"structural","mouse1",1,"clip_papertube","second_plane",36.7902462121212,63.2097537878788
"structural","mouse1",1,"second_plane","rope",31.2386363636363,68.7613636363637
"structural","mouse1",1,"clip_plastictube","rope",38.4871632996633,61.5128367003367
"structural","mouse1",1,"clip_plastictube","second_plane",39.0886994949495,60.9113005050505
"structural","mouse1",1,"clip_plastictube","clip_papertube",36.1556186868687,63.8443813131313
"structural","mouse1",1,"clip_plastictube","mouseswing",45.4428135521886,54.5571864478114
"structural","mouse1",1,"second_plane","mouseswing",61.7624684343434,38.2375315656566
"foraging","mouse1",1,"treatball","latticeball",62.2208017676767,37.7791982323233
"foraging","mouse1",1,"tube_stones","flappuzzle",57.087542087542,42.912457912458
"foraging","mouse1",1,"flappuzzle","treatball",51.4464962121212,48.5535037878788
"foraging","mouse1",1,"tube_stones","latticeball",37.5651830808081,62.4348169191919
"foraging","mouse1",1,"tube_stones","slidingpuzzle",53.4526515151515,46.5473484848485
"foraging","mouse1",1,"tube_stones","treatball",65.4174558080808,34.5825441919192
"foraging","mouse1",1,"latticeball","slidingpuzzle",62.5015782828283,37.4984217171717
"foraging","mouse1",1,"treatball","slidingpuzzle",34.4260311447811,65.5739688552189
"foraging","mouse1",1,"flappuzzle","slidingpuzzle",46.019938973064,53.980061026936
"foraging","mouse1",1,"latticeball","flappuzzle",70.492582070707,29.5074179292929
"housing","mouse1",1,"floorhouse","woodenangle",69.3330702861953,30.6669297138047
"housing","mouse1",1,"woodenangle_with_hole","houseball",31.798768939394,68.201231060606
"housing","mouse1",1,"woodenangle_with_hole","woodenangle",55.087962962963,44.912037037037
"housing","mouse1",1,"woodenangle","paperhouse",57.3710016835017,42.6289983164983
"housing","mouse1",1,"paperhouse","floorhouse",45.6856586700337,54.3143413299663
"housing","mouse1",1,"floorhouse","woodenangle_with_hole",36.5313552188552,63.4686447811448
"housing","mouse1",1,"paperhouse","woodenangle_with_hole",49.3789983164983,50.6210016835017
"housing","mouse1",1,"houseball","floorhouse",48.5209911616162,51.4790088383838
"housing","mouse1",1,"woodenangle","houseball",54.9639625420875,45.0360374579124
"housing","mouse1",1,"houseball","paperhouse",47.3609532828282,52.6390467171718
"structural","mouse2",1,"rope","mouseswing",38.7445286195287,61.2554713804713
"structural","mouse2",1,"clip_papertube","rope",27.4534341663304,72.5465658336697
"structural","mouse2",1,"mouseswing","clip_papertube",47.0986952861953,52.9013047138047
"structural","mouse2",1,"clip_papertube","second_plane",38.975220959596,61.024779040404
"structural","mouse2",1,"second_plane","rope",40.6265256734006,59.3734743265994
"structural","mouse2",1,"clip_plastictube","rope",41.1904461279461,58.8095538720539
"structural","mouse2",1,"clip_plastictube","second_plane",37.8998316498317,62.1001683501683
"structural","mouse2",1,"clip_plastictube","clip_papertube",36.8600589225589,63.1399410774411
"structural","mouse2",1,"clip_plastictube","mouseswing",44.8792087542087,55.1207912457913
"structural","mouse2",1,"second_plane","mouseswing",76.8680555555555,23.1319444444445
"foraging","mouse2",1,"treatball","latticeball",63.3139730639731,36.6860269360269
"foraging","mouse2",1,"tube_stones","flappuzzle",55.4537563131313,44.5462436868687
"foraging","mouse2",1,"flappuzzle","treatball",54.1200547138046,45.8799452861954
"foraging","mouse2",1,"tube_stones","latticeball",30.9897411616161,69.0102588383839
"foraging","mouse2",1,"tube_stones","slidingpuzzle",54.2760416666667,45.7239583333333
"foraging","mouse2",1,"tube_stones","treatball",66.7733585858585,33.2266414141415
"foraging","mouse2",1,"latticeball","slidingpuzzle",56.0993265993266,43.9006734006734
"foraging","mouse2",1,"treatball","slidingpuzzle",41.9424978956229,58.0575021043771
"foraging","mouse2",1,"flappuzzle","slidingpuzzle",41.3189183501683,58.6810816498317
"foraging","mouse2",1,"latticeball","flappuzzle",60.8302293771044,39.1697706228956
"housing","mouse2",1,"floorhouse","woodenangle",61.6872895622895,38.3127104377105
"housing","mouse2",1,"woodenangle_with_hole","houseball",37.3702651515152,62.6297348484848
"housing","mouse2",1,"woodenangle_with_hole","woodenangle",49.1428872053872,50.8571127946128
"housing","mouse2",1,"woodenangle","paperhouse",54.7054924242425,45.2945075757575
"housing","mouse2",1,"paperhouse","floorhouse",45.455281986532,54.544718013468
"housing","mouse2",1,"floorhouse","woodenangle_with_hole",36.2168034511784,63.7831965488216
"housing","mouse2",1,"paperhouse","woodenangle_with_hole",48.3840488215488,51.6159511784512
"housing","mouse2",1,"houseball","floorhouse",44.618792087542,55.381207912458
"housing","mouse2",1,"woodenangle","houseball",54.8238636363637,45.1761363636363
"housing","mouse2",1,"houseball","paperhouse",40.4071443602693,59.5928556397307
"structural","mouse3",1,"rope","mouseswing",42.2743055555556,57.7256944444444
"structural","mouse3",1,"clip_papertube","rope",33.1182502641842,66.8817497358157
"structural","mouse3",1,"mouseswing","clip_papertube",41.2961910774411,58.7038089225589
"structural","mouse3",1,"clip_papertube","second_plane",35.4892676767677,64.5107323232323
"structural","mouse3",1,"second_plane","rope",37.7889309764309,62.2110690235691
"structural","mouse3",1,"clip_plastictube","rope",39.3003998316498,60.6996001683502
"structural","mouse3",1,"clip_plastictube","second_plane",38.0997474747474,61.9002525252526
"structural","mouse3",1,"clip_plastictube","clip_papertube",41.8906776094277,58.1093223905723
"structural","mouse3",1,"clip_plastictube","mouseswing",43.6532512626263,56.3467487373737
"structural","mouse3",1,"second_plane","mouseswing",68.0821759259259,31.9178240740741
"foraging","mouse3",1,"treatball","latticeball",64.0382470538721,35.961752946128
"foraging","mouse3",1,"tube_stones","flappuzzle",57.4169823232323,42.5830176767677
"foraging","mouse3",1,"flappuzzle","treatball",59.4473905723906,40.5526094276094
"foraging","mouse3",1,"tube_stones","latticeball",37.6443602693602,62.3556397306398
"foraging","mouse3",1,"tube_stones","slidingpuzzle",55.56492003367,44.43507996633
"foraging","mouse3",1,"tube_stones","treatball",60.9596485690235,39.0403514309765
"foraging","mouse3",1,"latticeball","slidingpuzzle",51.8707912457912,48.1292087542088
"foraging","mouse3",1,"treatball","slidingpuzzle",46.3393308080808,53.6606691919192
"foraging","mouse3",1,"flappuzzle","slidingpuzzle",52.7372159090909,47.2627840909091
"foraging","mouse3",1,"latticeball","flappuzzle",71.1366792929292,28.8633207070707
"housing","mouse3",1,"floorhouse","woodenangle",57.7119107744108,42.2880892255892
"housing","mouse3",1,"woodenangle_with_hole","houseball",38.1022727272727,61.8977272727273
"housing","mouse3",1,"woodenangle_with_hole","woodenangle",48.0377209595959,51.9622790404041
"housing","mouse3",1,"woodenangle","paperhouse",63.3339646464647,36.6660353535353
"housing","mouse3",1,"paperhouse","floorhouse",40.6521464646465,59.3478535353535
"housing","mouse3",1,"floorhouse","woodenangle_with_hole",34.8606376262626,65.1393623737374
"housing","mouse3",1,"paperhouse","woodenangle_with_hole",53.2428451178451,46.7571548821549
"housing","mouse3",1,"houseball","floorhouse",44.2638888888889,55.7361111111111
"housing","mouse3",1,"woodenangle","houseball",52.0899621212122,47.9100378787878
"housing","mouse3",1,"houseball","paperhouse",48.7547874579124,51.2452125420876
"structural","mouse4",1,"rope","mouseswing",41.7194865319865,58.2805134680135
"structural","mouse4",1,"clip_papertube","rope",32.7844591750842,67.2155408249158
"structural","mouse4",1,"mouseswing","clip_papertube",50.0333543771044,49.9666456228956
"structural","mouse4",1,"clip_papertube","second_plane",36.4574915824916,63.5425084175084
"structural","mouse4",1,"second_plane","rope",34.4656986531987,65.5343013468013
"structural","mouse4",1,"clip_plastictube","rope",43.0119423400674,56.9880576599326
"structural","mouse4",1,"clip_plastictube","second_plane",42.6798716329966,57.3201283670034
"structural","mouse4",1,"clip_plastictube","clip_papertube",39.8863011386877,60.1136988613123
"structural","mouse4",1,"clip_plastictube","mouseswing",40.1393623737374,59.8606376262626
"structural","mouse4",1,"second_plane","mouseswing",64.3813657407407,35.6186342592593
"foraging","mouse4",1,"treatball","latticeball",55.7660458754209,44.2339541245791
"foraging","mouse4",1,"tube_stones","flappuzzle",55.9805345117845,44.0194654882155
"foraging","mouse4",1,"flappuzzle","treatball",58.6014835858585,41.3985164141415
"foraging","mouse4",1,"tube_stones","latticeball",30.761047979798,69.238952020202
"foraging","mouse4",1,"tube_stones","slidingpuzzle",61.2673611111111,38.7326388888889
"foraging","mouse4",1,"tube_stones","treatball",73.1331544612794,26.8668455387205
"foraging","mouse4",1,"latticeball","slidingpuzzle",64.2130155723906,35.7869844276094
"foraging","mouse4",1,"treatball","slidingpuzzle",42.3601641414141,57.6398358585859
"foraging","mouse4",1,"flappuzzle","slidingpuzzle",47.7647306397306,52.2352693602694
"foraging","mouse4",1,"latticeball","flappuzzle",72.3239162457913,27.6760837542087
"housing","mouse4",1,"floorhouse","woodenangle",66.2143834175084,33.7856165824916
"housing","mouse4",1,"woodenangle_with_hole","houseball",40.2767781986531,59.7232218013469
"housing","mouse4",1,"woodenangle_with_hole","woodenangle",39.6573021885522,60.3426978114478
"housing","mouse4",1,"woodenangle","paperhouse",60.9947916666667,39.0052083333333
"housing","mouse4",1,"paperhouse","floorhouse",39.8792613636363,60.1207386363637
"housing","mouse4",1,"floorhouse","woodenangle_with_hole",34.0026304713805,65.9973695286195
"housing","mouse4",1,"paperhouse","woodenangle_with_hole",49.3001893939394,50.6998106060606
"housing","mouse4",1,"houseball","floorhouse",43.1011153198654,56.8988846801346
"housing","mouse4",1,"woodenangle","houseball",44.1354692760943,55.8645307239057
"housing","mouse4",1,"houseball","paperhouse",46.640361952862,53.359638047138
"structural","mouse5",2,"rope","mouseswing",47.4599116161616,52.5400883838384
"structural","mouse5",2,"clip_papertube","rope",49.4222958754209,50.5777041245792
"structural","mouse5",2,"mouseswing","clip_papertube",57.0951178451179,42.9048821548822
"structural","mouse5",2,"clip_papertube","second_plane",48.9723274410774,51.0276725589226
"structural","mouse5",2,"second_plane","rope",41.1909722222222,58.8090277777778
"structural","mouse5",2,"clip_plastictube","rope",50.9421822390572,49.0578177609428
"structural","mouse5",2,"clip_plastictube","second_plane",57.7374789562289,42.2625210437711
"structural","mouse5",2,"clip_plastictube","clip_papertube",45.820180976431,54.179819023569
"structural","mouse5",2,"clip_plastictube","mouseswing",53.0664457070707,46.9335542929293
"structural","mouse5",2,"second_plane","mouseswing",61.3754734848485,38.6245265151515
"foraging","mouse5",2,"treatball","latticeball",37.6890256734007,62.3109743265993
"foraging","mouse5",2,"tube_stones","flappuzzle",48.9765888047138,51.0234111952862
"foraging","mouse5",2,"flappuzzle","treatball",66.0327756734006,33.9672243265994
"foraging","mouse5",2,"tube_stones","latticeball",14.2753577441077,85.7246422558922
"foraging","mouse5",2,"tube_stones","slidingpuzzle",50.3988320707071,49.6011679292929
"foraging","mouse5",2,"tube_stones","treatball",79.6244212962963,20.3755787037037
"foraging","mouse5",2,"latticeball","slidingpuzzle",70.6113215488216,29.3886784511784
"foraging","mouse5",2,"treatball","slidingpuzzle",57.821917087542,42.178082912458
"foraging","mouse5",2,"flappuzzle","slidingpuzzle",68.5130471380471,31.4869528619529
"foraging","mouse5",2,"latticeball","flappuzzle",43.0163089225589,56.9836910774411
"housing","mouse5",2,"floorhouse","woodenangle",62.5463489057239,37.4536510942761
"housing","mouse5",2,"woodenangle_with_hole","houseball",48.6554608585859,51.3445391414141
"housing","mouse5",2,"woodenangle_with_hole","woodenangle",50.642350902067,49.357649097933
"housing","mouse5",2,"woodenangle","paperhouse",18.7742665343459,81.2257334656541
"housing","mouse5",2,"paperhouse","floorhouse",49.0590277777778,50.9409722222222
"housing","mouse5",2,"floorhouse","woodenangle_with_hole",53.8382826444271,46.1617173555729
"housing","mouse5",2,"paperhouse","woodenangle_with_hole",63.1028514309764,36.8971485690236
"housing","mouse5",2,"houseball","floorhouse",55.0855955387206,44.9144044612794
"housing","mouse5",2,"woodenangle","houseball",59.3022800801463,40.6977199198537
"housing","mouse5",2,"houseball","paperhouse",49.3049768518518,50.6950231481482
"structural","mouse6",2,"rope","mouseswing",47.9340227931113,52.0659772068887
"structural","mouse6",2,"clip_papertube","rope",51.2654145622895,48.7345854377105
"structural","mouse6",2,"mouseswing","clip_papertube",60.8733691077441,39.1266308922559
"structural","mouse6",2,"clip_papertube","second_plane",47.6246335217057,52.3753664782943
"structural","mouse6",2,"second_plane","rope",42.3420138888889,57.6579861111111
"structural","mouse6",2,"clip_plastictube","rope",53.7542613636363,46.2457386363637
"structural","mouse6",2,"clip_plastictube","second_plane",58.2308501683501,41.7691498316499
"structural","mouse6",2,"clip_plastictube","clip_papertube",42.1385206228956,57.8614793771044
"structural","mouse6",2,"clip_plastictube","mouseswing",48.6579335016835,51.3420664983165
"structural","mouse6",2,"second_plane","mouseswing",68.1650357744108,31.8349642255892
"foraging","mouse6",2,"treatball","latticeball",43.1783985690236,56.8216014309764
"foraging","mouse6",2,"tube_stones","flappuzzle",55.5054713804714,44.4945286195286
"foraging","mouse6",2,"flappuzzle","treatball",62.4130892255892,37.5869107744107
"foraging","mouse6",2,"tube_stones","latticeball",16.2257996632997,83.7742003367003
"foraging","mouse6",2,"tube_stones","slidingpuzzle",50.4529145622895,49.5470854377105
"foraging","mouse6",2,"tube_stones","treatball",78.8978324915824,21.1021675084176
"foraging","mouse6",2,"latticeball","slidingpuzzle",70.1249473905724,29.8750526094276
"foraging","mouse6",2,"treatball","slidingpuzzle",46.0865951178451,53.9134048821549
"foraging","mouse6",2,"flappuzzle","slidingpuzzle",66.2559974747474,33.7440025252526
"foraging","mouse6",2,"latticeball","flappuzzle",44.483164983165,55.516835016835
"housing","mouse6",2,"floorhouse","woodenangle",64.3616898148148,35.6383101851852
