"compiled_studies","subjectID","group","optionA","optionB","quantityA","quantityB"
"structural","mouse1",1,"rope","mouseswing",37.3784722222222,62.6215277777778
"structural","mouse1",1,"clip_papertube","rope",42.5381944444444,57.4618055555556
"structural","mouse1",1,"mouseswing","clip_papertube",43.761574074074,56.238425925926
"structural","mouse1",1,"clip_papertube","second_plane",39.9618055555556,60.0381944444444
"structural","mouse1",1,"second_plane","rope",18.8333333333333,81.1666666666667
"structural","mouse1",1,"clip_plastictube","rope",32.699074074074,67.300925925926
"structural","mouse1",1,"clip_plastictube","second_plane",31.7152777777778,68.2847222222222
"structural","mouse1",1,"clip_plastictube","clip_papertube",44.6597222222222,55.3402777777778
"structural","mouse1",1,"clip_plastictube","mouseswing",45.6886574074074,54.3113425925926
"structural","mouse1",1,"second_plane","mouseswing",64.5173611111111,35.4826388888889
"foraging","mouse1",1,"treatball","latticeball",69.2118055555555,30.7881944444445
"foraging","mouse1",1,"tube_stones","flappuzzle",55.7407407407407,44.2592592592593
"foraging","mouse1",1,"flappuzzle","treatball",63.8993055555556,36.1006944444444
"foraging","mouse1",1,"tube_stones","latticeball",32.4409722222222,67.5590277777778
"foraging","mouse1",1,"tube_stones","slidingpuzzle",62.3055555555556,37.6944444444444
"foraging","mouse1",1,"tube_stones","treatball",70.4826388888889,29.5173611111111
"foraging","mouse1",1,"latticeball","slidingpuzzle",74.8125,25.1875
"foraging","mouse1",1,"treatball","slidingpuzzle",42.1967592592593,57.8032407407407
"foraging","mouse1",1,"flappuzzle","slidingpuzzle",60.1863425925926,39.8136574074074
"foraging","mouse1",1,"latticeball","flappuzzle",62.2048611111111,37.7951388888889
"housing","mouse1",1,"floorhouse","woodenangle",52.6030092592593,47.3969907407407
"housing","mouse1",1,"woodenangle_with_hole","houseball",43.5104166666667,56.4895833333333
"housing","mouse1",1,"woodenangle_with_hole","woodenangle",40.7314814814815,59.2685185185185
"housing","mouse1",1,"woodenangle","paperhouse",64.1990740740741,35.8009259259259
"housing","mouse1",1,"paperhouse","floorhouse",50.1655092592593,49.8344907407407
"housing","mouse1",1,"floorhouse","woodenangle_with_hole",29.824074074074,70.175925925926
"housing","mouse1",1,"paperhouse","woodenangle_with_hole",44.4814814814815,55.5185185185185
"housing","mouse1",1,"houseball","floorhouse",41.59375,58.40625
"housing","mouse1",1,"woodenangle","houseball",41.8761574074074,58.1238425925926
"housing","mouse1",1,"houseball","paperhouse",42.8368055555555,57.1631944444445
"structural","mouse2",1,"rope","mouseswing",30.3981481481482,69.6018518518518
"structural","mouse2",1,"clip_papertube","rope",34.7465147973072,65.2534852026928
"structural","mouse2",1,"mouseswing","clip_papertube",42.9537037037037,57.0462962962963
"structural","mouse2",1,"clip_papertube","second_plane",50.1979166666667,49.8020833333333
"structural","mouse2",1,"second_plane","rope",25.730324074074,74.269675925926
"structural","mouse2",1,"clip_plastictube","rope",42.3796296296296,57.6203703703704
"structural","mouse2",1,"clip_plastictube","second_plane",39.3981481481482,60.6018518518518
"structural","mouse2",1,"clip_plastictube","clip_papertube",41.7453703703704,58.2546296296296
"structural","mouse2",1,"clip_plastictube","mouseswing",51.5324074074074,48.4675925925926
"structural","mouse2",1,"second_plane","mouseswing",76.0833333333333,23.9166666666667
"foraging","mouse2",1,"treatball","latticeball",67.8981481481482,32.1018518518518
"foraging","mouse2",1,"tube_stones","flappuzzle",54.8923611111111,45.1076388888889
"foraging","mouse2",1,"flappuzzle","treatball",60.886574074074,39.113425925926
"foraging","mouse2",1,"tube_stones","latticeball",32.4756944444444,67.5243055555556
"foraging","mouse2",1,"tube_stones","slidingpuzzle",63.5659722222222,36.4340277777778
"foraging","mouse2",1,"tube_stones","treatball",69.7222222222222,30.2777777777778
"foraging","mouse2",1,"latticeball","slidingpuzzle",73.2314814814815,26.7685185185185
"foraging","mouse2",1,"treatball","slidingpuzzle",47.5289351851852,52.4710648148148
"foraging","mouse2",1,"flappuzzle","slidingpuzzle",52.9004629629629,47.0995370370371
"foraging","mouse2",1,"latticeball","flappuzzle",58.0405092592593,41.9594907407407
"housing","mouse2",1,"floorhouse","woodenangle",62.0046296296296,37.9953703703704
"housing","mouse2",1,"woodenangle_with_hole","houseball",38.6319444444445,61.3680555555555
"housing","mouse2",1,"woodenangle_with_hole","woodenangle",54.3703703703704,45.6296296296296
"housing","mouse2",1,"woodenangle","paperhouse",52.9513888888889,47.0486111111111
"housing","mouse2",1,"paperhouse","floorhouse",50.9976851851852,49.0023148148148
"housing","mouse2",1,"floorhouse","woodenangle_with_hole",22.1747685185185,77.8252314814815
"housing","mouse2",1,"paperhouse","woodenangle_with_hole",56.1203703703703,43.8796296296297
"housing","mouse2",1,"houseball","floorhouse",33.4143518518518,66.5856481481482
"housing","mouse2",1,"woodenangle","houseball",54.0555555555556,45.9444444444444
"housing","mouse2",1,"houseball","paperhouse",42.4594907407407,57.5405092592593
"structural","mouse3",1,"rope","mouseswing",37.6736111111111,62.3263888888889
"structural","mouse3",1,"clip_papertube","rope",47.5799348718028,52.4200651281972
"structural","mouse3",1,"mouseswing","clip_papertube",44.8310185185185,55.1689814814815
"structural","mouse3",1,"clip_papertube","second_plane",43.7638888888889,56.2361111111111
"structural","mouse3",1,"second_plane","rope",21.8935185185185,78.1064814814815
"structural","mouse3",1,"clip_plastictube","rope",41.0300925925926,58.9699074074074
"structural","mouse3",1,"clip_plastictube","second_plane",34.5416666666667,65.4583333333333
"structural","mouse3",1,"clip_plastictube","clip_papertube",50.0856481481482,49.9143518518518
"structural","mouse3",1,"clip_plastictube","mouseswing",55.9479166666667,44.0520833333333
"structural","mouse3",1,"second_plane","mouseswing",62.4004629629629,37.5995370370371
"foraging","mouse3",1,"treatball","latticeball",68.7002314814815,31.2997685185185
"foraging","mouse3",1,"tube_stones","flappuzzle",57.7847222222222,42.2152777777778
"foraging","mouse3",1,"flappuzzle","treatball",66.4351851851852,33.5648148148148
"foraging","mouse3",1,"tube_stones","latticeball",33.6712962962963,66.3287037037037
"foraging","mouse3",1,"tube_stones","slidingpuzzle",68.474537037037,31.525462962963
"foraging","mouse3",1,"tube_stones","treatball",61.2349537037037,38.7650462962963
"foraging","mouse3",1,"latticeball","slidingpuzzle",74.2731481481482,25.7268518518518
"foraging","mouse3",1,"treatball","slidingpuzzle",51.1736111111111,48.8263888888889
"foraging","mouse3",1,"flappuzzle","slidingpuzzle",69.53125,30.46875
"foraging","mouse3",1,"latticeball","flappuzzle",63.1319444444444,36.8680555555556
"housing","mouse3",1,"floorhouse","woodenangle",54.6851851851852,45.3148148148148
"housing","mouse3",1,"woodenangle_with_hole","houseball",47.4583333333333,52.5416666666667
"housing","mouse3",1,"woodenangle_with_hole","woodenangle",33.5590277777777,66.4409722222223
"housing","mouse3",1,"woodenangle","paperhouse",65.9166666666667,34.0833333333333
"housing","mouse3",1,"paperhouse","floorhouse",39.3888888888889,60.6111111111111
