"compiled_studies","subjectID","group","optionA","optionB","quantityA","quantityB"
"structural","mouse1",1,"rope","mouseswing",45.9709595959596,54.0290404040404
"structural","mouse1",1,"clip_papertube","rope",36.3636363636363,63.6363636363637
"structural","mouse1",1,"mouseswing","clip_papertube",36.9722222222222,63.0277777777778
"structural","mouse1",1,"clip_papertube","second_plane",33.6186868686869,66.3813131313131
"structural","mouse1",1,"second_plane","rope",43.6439393939394,56.3560606060606
"structural","mouse1",1,"clip_plastictube","rope",44.2752525252525,55.7247474747475
"structural","mouse1",1,"clip_plastictube","second_plane",46.4621212121212,53.5378787878788
"structural","mouse1",1,"clip_plastictube","clip_papertube",27.6515151515152,72.3484848484848
"structural","mouse1",1,"clip_plastictube","mouseswing",45.1969696969697,54.8030303030303
"structural","mouse1",1,"second_plane","mouseswing",59.0075757575758,40.9924242424242
"foraging","mouse1",1,"treatball","latticeball",55.229797979798,44.770202020202
"foraging","mouse1",1,"tube_stones","flappuzzle",58.4343434343434,41.5656565656566
"foraging","mouse1",1,"flappuzzle","treatball",38.9936868686869,61.0063131313131
"foraging","mouse1",1,"tube_stones","latticeball",42.6893939393939,57.3106060606061
"foraging","mouse1",1,"tube_stones","slidingpuzzle",44.5997474747474,55.4002525252526
"foraging","mouse1",1,"tube_stones","treatball",60.3522727272727,39.6477272727273
"foraging","mouse1",1,"latticeball","slidingpuzzle",50.1906565656566,49.8093434343434
"foraging","mouse1",1,"treatball","slidingpuzzle",26.655303030303,73.344696969697
"foraging","mouse1",1,"flappuzzle","slidingpuzzle",31.8535353535353,68.1464646464647
"foraging","mouse1",1,"latticeball","flappuzzle",78.780303030303,21.219696969697
"housing","mouse1",1,"floorhouse","woodenangle",86.0631313131313,13.9368686868687
"housing","mouse1",1,"woodenangle_with_hole","houseball",20.0871212121212,79.9128787878788
"housing","mouse1",1,"woodenangle_with_hole","woodenangle",69.4444444444445,30.5555555555555
"housing","mouse1",1,"woodenangle","paperhouse",50.5429292929293,49.4570707070707
"housing","mouse1",1,"paperhouse","floorhouse",41.2058080808081,58.7941919191919
"housing","mouse1",1,"floorhouse","woodenangle_with_hole",43.2386363636364,56.7613636363636
